year,man_type,man_nrate
1980,Beef cattle,0
1981,Beef cattle,0
1982,Beef cattle,0
1983,Beef cattle,0
1984,Beef cattle,0
1985,Beef cattle,0
1986,Beef cattle,0
1987,Beef cattle,0
1988,Beef cattle,0
1989,Beef cattle,0
1990,Beef cattle,0
1991,Beef cattle,0
1992,Beef cattle,0
1993,Beef cattle,0
1994,Beef cattle,0
1995,Beef cattle,0
1996,Beef cattle,0
1997,Beef cattle,0
1998,Beef cattle,0
1999,Beef cattle,0
2000,Beef cattle,0
2001,Beef cattle,0
2002,Beef cattle,0
2003,Beef cattle,0
2004,Beef cattle,0
2005,Beef cattle,0
2006,Beef cattle,0
2007,Beef cattle,0
2008,Beef cattle,0
2009,Beef cattle,0
2010,Beef cattle,0
2011,Beef cattle,0
2012,Beef cattle,0
2013,Beef cattle,0
2014,Beef cattle,0
2015,Beef cattle,0
2016,Beef cattle,0
2017,Beef cattle,0
2018,Beef cattle,0
2019,Beef cattle,0
2020,Beef cattle,50
2021,Beef cattle,50
2022,Beef cattle,50
2023,Beef cattle,50
2024,Beef cattle,50
2025,Beef cattle,50
2026,Beef cattle,50
2027,Beef cattle,50
2028,Beef cattle,50
2029,Beef cattle,50
2030,Beef cattle,50
2031,Beef cattle,50
2032,Beef cattle,50
2033,Beef cattle,50
2034,Beef cattle,50
2035,Beef cattle,50
2036,Beef cattle,50
2037,Beef cattle,50
2038,Beef cattle,50
2039,Beef cattle,50
2040,Beef cattle,50
2041,Beef cattle,50
2042,Beef cattle,50
2043,Beef cattle,50
2044,Beef cattle,50
2045,Beef cattle,50
2046,Beef cattle,50
2047,Beef cattle,50
2048,Beef cattle,50
2049,Beef cattle,50
2050,Beef cattle,50
2051,Beef cattle,50
2052,Beef cattle,50
2053,Beef cattle,50
2054,Beef cattle,50
2055,Beef cattle,50
2056,Beef cattle,50
2057,Beef cattle,50
2058,Beef cattle,50
2059,Beef cattle,50
2060,Beef cattle,50
2061,Beef cattle,50
2062,Beef cattle,50
2063,Beef cattle,50
2064,Beef cattle,50
2065,Beef cattle,50
2066,Beef cattle,50
2067,Beef cattle,50
2068,Beef cattle,50
2069,Beef cattle,50
2070,Beef cattle,50
